knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00001	334.23	domain	all	0.303644	2834	2371	2110	463	15.70	0.590	alcohol dehydrogenase [EC:1.1.1.1]
K00002	434.97	full	all	0.436470	2867	2743	7491	444	6.80	0.590	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	276.20	domain	all	0.949861	7099	6158	3354	586	7.00	0.590	homoserine dehydrogenase [EC:1.1.1.3]
K00004	372.23	domain	all	0.836775	1782	1514	1263	430	5.81	0.590	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	328.47	full	all	0.976625	1597	1187	795	372	2.18	0.590	glycerol dehydrogenase [EC:1.1.1.6]
K00006	319.83	full	all	0.906508	2617	2428	3833	520	4.06	0.590	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	509.00	full	all	0.998374	384	307	826	468	1.01	0.591	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	426.30	full	all	0.527206	4377	3894	3658	633	8.68	0.590	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	154.97	domain	trim	0.997774	1722	1347	1325	546	4.68	0.590	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	261.23	domain	all	0.875408	4392	3891	2763	465	9.02	0.590	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	555.20	domain	all	0.768229	1694	1634	3967	526	3.33	0.590	aldehyde reductase [EC:1.1.1.21]
K00012	357.63	full	all	0.933810	9729	8638	6228	571	5.65	0.590	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	513.63	domain	all	0.930627	7493	6624	3924	693	4.76	0.590	histidinol dehydrogenase [EC:1.1.1.23]
K00014	283.50	domain	all	0.917682	4739	4006	1777	401	4.57	0.590	shikimate dehydrogenase [EC:1.1.1.25]
K00015	414.30	domain	all	0.776591	2014	1822	1582	500	3.84	0.590	glyoxylate reductase [EC:1.1.1.26]
K00016	308.57	full	all	0.904635	6397	5144	3975	511	6.43	0.590	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	314.40	domain	all	0.994880	1692	1571	671	327	2.29	0.590	glycerate dehydrogenase [EC:1.1.1.29]
K00019	183.00	domain	all	0.475123	5018	4494	4514	521	11.19	0.590	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	356.37	full	all	0.603697	8264	7355	4556	555	11.69	0.590	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	226.70	full	all	0.999133	2456	2308	6382	830	4.39	0.590	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	361.50	domain	trim	0.783873	1017	971	1923	385	4.69	0.590	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	337.27	domain	all	0.952762	2468	2021	670	285	3.03	0.590	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	362.90	domain	all	0.840407	6420	5164	1403	442	6.20	0.590	malate dehydrogenase [EC:1.1.1.37]
K00025	537.93	full	all	0.915897	1389	1235	2044	446	4.49	0.590	malate dehydrogenase [EC:1.1.1.37]
K00026	512.87	full	all	0.864858	2420	2233	3983	564	5.84	0.590	malate dehydrogenase [EC:1.1.1.37]
K00027	525.40	domain	trim	0.729603	5996	5028	4178	584	3.33	0.590	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	754.60	domain	all	0.965952	440	409	1380	607	1.04	0.591	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	293.80	domain	all	0.571422	7672	6726	5734	699	2.97	0.590	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	439.33	full	all	0.937238	4330	3877	5457	520	4.83	0.590	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	165.20	full	trim	0.850699	10267	8749	4290	635	5.71	0.590	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	501.17	domain	all	0.875419	217	197	392	325	0.89	0.590	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	157.87	full	all	0.998795	8797	7466	4576	636	4.24	0.590	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	338.67	domain	trim	0.742583	1622	1453	907	331	5.42	0.590	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	361.40	full	all	0.810531	549	480	532	308	1.26	0.589	D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	371.30	full	all	0.995062	9746	8334	6176	631	4.02	0.590	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037	660.30	domain	trim	0.700138	44	42	446	323	0.60	0.589	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]
K00038	306.47	domain	trim	0.850004	1488	1365	754	334	2.85	0.590	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	246.43	domain	all	0.998505	430	336	367	242	1.12	0.589	ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	599.57	full	all	0.708011	2241	1887	1573	724	3.68	0.590	fructuronate reductase [EC:1.1.1.57]
K00041	274.97	full	all	0.996206	1345	1185	1333	639	2.52	0.590	tagaturonate reductase [EC:1.1.1.58]
K00042	394.30	domain	all	0.793390	2534	2057	1045	499	4.48	0.590	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	436.50	full	all	0.989247	376	330	572	373	1.74	0.590	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044	413.63	domain	all	0.957561	341	329	1369	411	2.22	0.590	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045	647.97	full	all	0.930985	1118	1037	1240	642	2.65	0.590	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	314.63	domain	all	0.914888	1864	1528	804	270	2.42	0.590	gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	552.70	full	all	0.992823	590	421	492	383	1.10	0.590	lactaldehyde reductase [EC:1.1.1.77]
K00049	427.47	full	all	0.899104	1103	1072	2441	410	2.93	0.590	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00051	691.43	full	all	0.996633	167	149	697	438	0.68	0.589	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	424.97	full	all	0.933087	8133	7059	2654	500	4.81	0.590	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	150.47	full	all	0.999068	8030	6450	2514	640	4.83	0.590	ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	321.17	full	trim	0.995121	1432	1226	1732	903	3.92	0.590	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	380.77	domain	all	0.989616	999	923	969	382	1.68	0.590	aryl-alcohol dehydrogenase [EC:1.1.1.90]
